HourNum	Date	O3Level	
450	20000119	0.003	
451	20000119	0.003	
452	20000119	0.002	
453	20000119	0.002	
454	20000119	0.005	
455	20000120	0.011	
456	20000120	0.009	
457	20000120	0.02	
458	20000120	0.025	
459	20000120	0.026	
460	20000120	0.016	
461	20000120	0.017	
462	20000120	0.014	
463	20000120	0.016	
464	20000120	0.021	
465	20000120	0.024	
466	20000120	0.026	
467	20000120	0.027	
468	20000120	0.024	
469	20000120	0.019	
470	20000120	0.014	
471	20000120	0.007	
472	20000120	0.004	
473	20000120	0.005	
474	20000120	0.005	
475	20000120	0.005	
476	20000120	0.006	
477	20000120	0.006	
478	20000121	0.005	
479	20000121	0.004	
480	20000121	0.004	
481	20000121	0.003	
482	20000121	0.003	
483	20000121	0.002	
484	20000121	0.003	
485	20000121	0.004	
486	20000121	0.007	
487	20000121	0.011	
488	20000121	0.014	
489	20000121	0.018	
490	20000121	0.023	
491	20000121	0.021	
492	20000121	0.017	
493	20000121	0.013	
494	20000121	0.006	
495	20000121	0.003	
496	20000121	0.003	
497	20000121	0.003	
498	20000121	0.003	
499	20000121	0.003	
500	20000121	0.003	
501	20000121	0.003	
502	20000122	0.002	
503	20000122	0.003	
504	20000122	0.002	
505	20000122	0.004	
506	20000122	0.006	
507	20000122	0.013	
508	20000122	0.012	
509	20000122	0.009	
510	20000122	0.017	
511	20000122	0.016	
512	20000122	0.018	
513	20000122	0.017	
514	20000122	0.016	
515	20000122	0.016	
516	20000122	0.012	
517	20000122	0.01	
518	20000122	0.005	
519	20000122	0.003	
520	20000122	0.003	
521	20000122	0.003	
522	20000122	0.004	
523	20000122	0.005	
524	20000122	0.005	
525	20000122	0.006	
526	20000123	0.006	
527	20000123	0.007	
528	20000123	0.01	
529	20000123	0.013	
530	20000123	0.01	
531	20000123	0.007	
532	20000123	0.019	
533	20000123	0.02	
534	20000123	0.027	
535	20000123	0.029	
536	20000123	0.029	
537	20000123	0.03	
538	20000123	0.032	
539	20000123	0.03	
540	20000123	0.03	
541	20000123	0.031	
542	20000123	0.028	
543	20000123	0.026	
544	20000123	0.022	
545	20000123	0.019	
546	20000123	0.014	
547	20000123	0.016	
548	20000123	0.013	
549	20000123	0.011	
550	20000124	0.005	
551	20000124	0.003	
552	20000124	0.003	
553	20000124	0.003	
554	20000124	0.003	
555	20000124	0.003	
556	20000124	0.003	
557	20000124	0.005	
558	20000124	0.009	
559	20000124	0.016	
560	20000124	0.022	
561	20000124	0.027	
562	20000124	0.031	
563	20000124	0.029	
564	20000124	0.021	
565	20000124	0.02	
566	20000124	0.018	
567	20000124	0.014	
568	20000124	0.004	
569	20000124	0.009	
570	20000124	0.007	
571	20000124	0.01	
572	20000124	0.006	
573	20000124	0.012	
574	20000125	0.01	
575	20000125	0.007	
576	20000125	0.004	
577	20000125	0.002	
578	20000125	0.002	
579	20000125	0.004	
580	20000125	0.003	
581	20000125	0.006	
582	20000125	0.009	
583	20000125	0.014	
584	20000125	0.022	
585	20000125	0.027	
586	20000125	0.03	
587	20000125	0.03	
588	20000125	0.028	
589	20000125	0.027	
590	20000125	0.021	
591	20000125	0.016	
592	20000125	0.015	
593	20000125	0.019	
594	20000125	0.011	
595	20000125	0.009	
596	20000125	0.01	
597	20000125	0.013	
598	20000126	0.013	
599	20000126	0.012	
600	20000126	0.012	
601	20000126	0.01	
602	20000126	0.008	
603	20000126	0.005	
604	20000126	0.003	
605	20000126	0.005	
606	20000126	0.011	
607	20000126	0.019	
608	20000126	0.023	
609	20000126	0.025	
610	20000126	0.024	
611	20000126	0.021	
612	20000126	0.022	
613	20000126	0.019	
614	20000126	0.011	
615	20000126	0.004	
616	20000126	0.003	
617	20000126	0.003	
618	20000126	0.003	
619	20000126	0.003	
620	20000126	0.003	
621	20000126	0.003	
622	20000127	0.004	
623	20000127	0.004	
624	20000127	0.004	
625	20000127	0.004	
626	20000127	0.003	
627	20000127	0.002	
628	20000127	0.003	
629	20000127	0.003	
630	20000127	0.005	
631	20000127	0.011	
632	20000127	0.019	
633	20000127	0.023	
634	20000127	0.024	
635	20000127	0.03	
636	20000127	0.024	
637	20000127	0.022	
638	20000127	0.01	
639	20000127	0.003	
640	20000127	0.003	
641	20000127	0.003	
642	20000127	0.003	
643	20000127	0.003	
644	20000127	0.003	
645	20000128	0.003	
646	20000128	0.003	
647	20000128	0.003	
648	20000128	0.003	
649	20000128	0.003	
650	20000128	0.003	
651	20000128	0.003	
652	20000128	0.004	
653	20000128	0.005	
654	20000128	0.011	
655	20000128	0.014	
