HourNum	Date	O3Level
451	20000120	0.009
452	20000120	0.02
453	20000120	0.025
454	20000120	0.026
455	20000120	0.016
456	20000120	0.017
457	20000120	0.014
458	20000120	0.016
459	20000120	0.021
460	20000120	0.024
461	20000120	0.026
462	20000120	0.027
463	20000120	0.024
464	20000120	0.019
465	20000120	0.014
466	20000120	0.007
467	20000120	0.004
468	20000120	0.005
469	20000120	0.005
470	20000120	0.005
471	20000120	0.006
472	20000120	0.006
473	20000121	0.005
474	20000121	0.004
475	20000121	0.004
476	20000121	0.003
477	20000121	0.003
478	20000121	0.002
479	20000121	0.003
480	20000121	0.004
481	20000121	0.007
482	20000121	0.011
483	20000121	0.014
484	20000121	0.018
485	20000121	0.023
486	20000121	0.021
487	20000121	0.017
488	20000121	0.013
489	20000121	0.006
490	20000121	0.003
491	20000121	0.003
492	20000121	0.003
493	20000121	0.003
494	20000121	0.003
495	20000121	0.003
496	20000121	0.003
497	20000122	0.002
498	20000122	0.003
499	20000122	0.002
500	20000122	0.004
501	20000122	0.006
502	20000122	0.013
503	20000122	0.012
504	20000122	0.009
505	20000122	0.017
506	20000122	0.016
507	20000122	0.018
508	20000122	0.017
509	20000122	0.016
510	20000122	0.016
511	20000122	0.012
512	20000122	0.01
513	20000122	0.005
514	20000122	0.003
515	20000122	0.003
516	20000122	0.003
517	20000122	0.004
518	20000122	0.005
519	20000122	0.005
520	20000122	0.006
521	20000123	0.006
522	20000123	0.007
523	20000123	0.01
524	20000123	0.013
525	20000123	0.01
526	20000123	0.007
527	20000123	0.019
528	20000123	0.02
529	20000123	0.027
530	20000123	0.029
531	20000123	0.029
532	20000123	0.03
533	20000123	0.032
534	20000123	0.03
535	20000123	0.03
536	20000123	0.031
537	20000123	0.028
538	20000123	0.026
539	20000123	0.022
540	20000123	0.019
541	20000123	0.014
542	20000123	0.016
543	20000123	0.013
544	20000123	0.011
545	20000124	0.005
546	20000124	0.003
547	20000124	0.003
548	20000124	0.003
549	20000124	0.003
550	20000124	0.003
551	20000124	0.003
552	20000124	0.005
553	20000124	0.009
554	20000124	0.016
555	20000124	0.022
556	20000124	0.027
557	20000124	0.031
558	20000124	0.029
559	20000124	0.021
560	20000124	0.02
561	20000124	0.018
562	20000124	0.014
563	20000124	0.004
564	20000124	0.009
565	20000124	0.007
566	20000124	0.01
567	20000124	0.006
568	20000124	0.012
569	20000125	0.01
570	20000125	0.007
571	20000125	0.004
572	20000125	0.002
573	20000125	0.002
574	20000125	0.004
575	20000125	0.003
576	20000125	0.006
577	20000125	0.009
578	20000125	0.014
579	20000125	0.022
580	20000125	0.027
581	20000125	0.03
582	20000125	0.03
583	20000125	0.028
584	20000125	0.027
585	20000125	0.021
586	20000125	0.016
587	20000125	0.015
588	20000125	0.019
589	20000125	0.011
590	20000125	0.009
591	20000125	0.01
592	20000125	0.013
593	20000126	0.013
594	20000126	0.012
595	20000126	0.012
596	20000126	0.01
597	20000126	0.008
598	20000126	0.005
599	20000126	0.003
600	20000126	0.005
601	20000126	0.011
602	20000126	0.019
603	20000126	0.023
604	20000126	0.025
605	20000126	0.024
606	20000126	0.021
607	20000126	0.022
608	20000126	0.019
609	20000126	0.011
610	20000126	0.004
611	20000126	0.003
612	20000126	0.003
613	20000126	0.003
614	20000126	0.003
615	20000126	0.003
616	20000126	0.003
617	20000127	0.004
618	20000127	0.004
619	20000127	0.004
620	20000127	0.004
621	20000127	0.003
622	20000127	0.002
623	20000127	0.003
624	20000127	0.003
625	20000127	0.005
626	20000127	0.011
627	20000127	0.019
628	20000127	0.023
629	20000127	0.024
630	20000127	0.03
631	20000127	0.024
632	20000127	0.022
633	20000127	0.01
634	20000127	0.003
635	20000127	0.003
636	20000127	0.003
637	20000127	0.003
